乌头,栀子,1,1,1,1,0,0.376183292,0.504903532,0.463441156
麦门冬,山茱萸,3,3,3,3,0,,,
人参,鹿茸,4,4,4,4,0,,,
当归,官桂,3,3,3,3,0,,,
枳壳,细辛,2,2,2,2,0,,,
防风,莪术,2,2,2,2,0,,,
巴戟天,蒲黄,1,1,1,1,0,,,
草乌,秦艽,4,4,4,4,0,,,
桑白皮,朱砂,1,1,1,1,0,,,
干姜,蔓荆子,1,1,1,1,0,,,
蝉蜕,黄芩,3,3,3,3,0,,,
赤芍,藿香,2,2,1,1.666666667,0.471404521,,,
干地黄,巴戟天,5,4,5,4.666666667,0.471404521,,,
全蝎,猪苓,2,2,1,1.666666667,0.471404521,,,
萆薢,赤小豆,5,4,5,4.666666667,0.471404521,,,
青皮,连翘,2,3,2,2.333333333,0.471404521,,,
橘红,防己,2,3,2,2.333333333,0.471404521,,,
藁本,肉豆蔻,1,1,2,1.333333333,0.471404521,,,
神曲,巴豆,1,1,2,1.333333333,0.471404521,,,
川椒,胡黄连,2,1,2,1.666666667,0.471404521,,,
高良姜,五倍子,1,1,2,1.333333333,0.471404521,,,
麦芽,白僵蚕,1,2,2,1.666666667,0.471404521,,,
黄连,威灵仙,1,2,2,1.666666667,0.471404521,,,
乌药,贝母,2,3,2,2.333333333,0.471404521,,,
苍术,乌梅肉,2,1,1,1.333333333,0.471404521,,,
生地,苍术,2,2,3,2.333333333,0.471404521,,,
生甘草,麝香,3,2,2,2.333333333,0.471404521,,,
肉桂,枳壳,2,1,1,1.333333333,0.471404521,,,
鳖甲,香附子,2,1,2,1.666666667,0.471404521,,,
蜀椒,川芎,1,1,2,1.333333333,0.471404521,,,
黄芪,葱白,1,1,2,1.333333333,0.471404521,,,
牛黄,苦参,2,1,1,1.333333333,0.471404521,,,
熟地黄,生地,4,5,5,4.666666667,0.471404521,,,
丁香,栀子,3,2,2,2.333333333,0.471404521,,,
神曲,白芍,3,2,2,2.333333333,0.471404521,,,
丁香,补骨脂,4,3,4,3.666666667,0.471404521,,,
车前子,没药,2,3,2,2.333333333,0.471404521,,,
丁香,牡蛎,1,2,2,1.666666667,0.471404521,,,
巴豆,陈皮,1,1,2,1.333333333,0.471404521,,,
枳壳,柏子仁,2,3,2,2.333333333,0.471404521,,,
款冬花,五倍子,1,2,1,1.333333333,0.471404521,,,
沉香,天麻,3,3,4,3.333333333,0.471404521,,,
牡丹皮,白芍,3,3,4,3.333333333,0.471404521,,,
炙甘草,羌活,3,3,2,2.666666667,0.471404521,,,
没药,五灵脂,3,4,4,3.666666667,0.471404521,,,
山药,破故纸,3,4,4,3.666666667,0.471404521,,,
诃子,天麻,2,1,1,1.333333333,0.471404521,,,
羚羊角,杏仁,2,1,2,1.666666667,0.471404521,,,
款冬花,山茱萸,2,1,2,1.666666667,0.471404521,,,
茯神,蜈蚣,2,1,2,1.666666667,0.471404521,,,
桔梗,白芷,1,2,2,1.666666667,0.471404521,,,
车前子,大枣,2,1,2,1.666666667,0.471404521,,,
延胡索,紫苏,2,2,3,2.333333333,0.471404521,,,
独活,枳实,1,2,1,1.333333333,0.471404521,,,
地龙,黄柏,2,1,1,1.333333333,0.471404521,,,
桔梗,干葛,2,3,3,2.666666667,0.471404521,,,
射干,丹皮,2,1,2,1.666666667,0.471404521,,,
龙骨,天花粉,3,2,2,2.333333333,0.471404521,,,
羚羊角,神曲,2,3,2,2.333333333,0.471404521,,,
茯神,熟干地黄,4,4,3,3.666666667,0.471404521,,,
生地,羌活,1,1,2,1.333333333,0.471404521,,,
槟榔,雄黄,1,1,2,1.333333333,0.471404521,,,
熟地,高良姜,2,2,1,1.666666667,0.471404521,,,
人参,桑白皮,3,2,2,2.333333333,0.471404521,,,
熟干地黄,茯苓,5,4,4,4.333333333,0.471404521,,,
萆薢,桑白皮,3,3,2,2.666666667,0.471404521,,,
大腹皮,木鳖子,2,1,1,1.333333333,0.471404521,,,
酸枣仁,石菖蒲,4,4,5,4.333333333,0.471404521,,,
生地,茯神,4,4,3,3.666666667,0.471404521,,,
炙甘草,朱砂,3,4,3,3.333333333,0.471404521,,,
艾叶,滑石,2,1,1,1.333333333,0.471404521,,,
黄柏,鹿茸,2,1,2,1.666666667,0.471404521,,,
乌梅,地龙,2,1,2,1.666666667,0.471404521,,,
天南星,蒲黄,2,2,1,1.666666667,0.471404521,,,
芦荟,厚朴,1,2,1,1.333333333,0.471404521,,,
前胡,砂仁,2,1,2,1.666666667,0.471404521,,,
红花,天麻,2,3,2,2.333333333,0.471404521,,,
生姜,蔓荆子,2,3,3,2.666666667,0.471404521,,,
大枣,蔓荆子,2,3,2,2.333333333,0.471404521,,,
葱白,细辛,3,3,4,3.333333333,0.471404521,,,
朱砂,丁香,3,2,1,2,0.816496581,,,
菟丝子,蔓荆子,3,4,2,3,0.816496581,,,
菊花,天门冬,3,1,2,2,0.816496581,,,
赤茯苓,柴胡,3,2,4,3,0.816496581,,,
生甘草,丁香,3,2,4,3,0.816496581,,,
沙参,芒消,2,3,1,2,0.816496581,,,
白芍药,泽泻,3,4,2,3,0.816496581,,,
吴茱萸,五加皮,2,3,1,2,0.816496581,,,
红花,紫菀,3,1,2,2,0.816496581,,,
天门冬,柏子仁,4,3,2,3,0.816496581,,,
大枣,地榆,1,3,2,2,0.816496581,,,
紫菀,木香,1,2,3,2,0.816496581,,,
蔓荆子,川芎,2,3,4,3,0.816496581,,,
丁香,远志,3,4,2,3,0.816496581,,,
麦冬,石菖蒲,3,1,2,2,0.816496581,,,
枳壳,鳖甲,3,2,1,2,0.816496581,,,
槟榔,天门冬,1,3,2,2,0.816496581,,,
大腹皮,牛蒡子,3,3,1,2.333333333,0.942809042,,,
贝母,山茱萸,2,2,4,2.666666667,0.942809042,,,
神曲,牡蛎,1,3,1,1.666666667,0.942809042,,,
牡蛎,威灵仙,1,1,3,1.666666667,0.942809042,,,
大腹皮,大黄,2,4,4,3.333333333,0.942809042,,,
官桂,茴香,3,3,5,3.666666667,0.942809042,,,
泽泻,苍术,2,4,2,2.666666667,0.942809042,,,
川乌头,乌药,2,4,2,2.666666667,0.942809042,,,
川乌,泽泻,1,3,1,1.666666667,0.942809042,,,
秦艽,白术,1,3,3,2.333333333,0.942809042,,,
紫苏,大腹皮,2,2,4,2.666666667,0.942809042,,,
天门冬,炙草,3,1,3,2.333333333,0.942809042,,,
吴茱萸,泽泻,2,4,4,3.333333333,0.942809042,,,
川乌,酸枣仁,1,3,1,1.666666667,0.942809042,,,
肉苁蓉,大黄,1,3,4,2.666666667,1.247219129,,,
防己,藿香,1,4,2,2.333333333,1.247219129,,,
菖蒲,天门冬,4,1,2,2.333333333,1.247219129,,,
天花粉,厚朴,1,4,2,2.333333333,1.247219129,,,
炙草,血竭,1,3,4,2.666666667,1.247219129,,,
款冬花,沙参,2,1,4,2.333333333,1.247219129,,,
石斛,知母,4,2,5,3.666666667,1.247219129,,,
天南星,黄芩,1,4,3,2.666666667,1.247219129,,,
五味子,知母,4,1,3,2.666666667,1.247219129,,,
